"logFC","logCPM","F","PValue","FDR","gene"
0.208876169278421,4.93330707765751,1.26924641153567,0.273545273682279,0.512882966745917,"tmc-1"
-0.132369231473792,6.60451073239732,1.268432233645,0.273693864449978,0.513053373144583,"C18C4.7"
-0.202105048270154,5.18280424505451,1.26807865643413,0.273759115200804,0.513067515440629,"dhfr-1"
-0.173789327226739,5.59436389940205,1.26683421934431,0.273987205029251,0.513386773427834,"nhr-6"
0.154028297931835,6.14142814114669,1.26400708107015,0.274506719505858,0.514251842209562,"T28D6.7"
-0.218097149182468,5.34601589909716,1.26163286027969,0.274944402343906,0.514963278120849,"rga-1"
-0.16942138157857,5.64743743637514,1.26020455266125,0.275207832111754,0.515243440587949,"ttr-35"
-0.367819608176805,3.73330245850497,1.26021822874081,0.275209886329116,0.515243440587949,"tag-281"
-0.288356199458245,3.93179298348582,1.25917003976558,0.27540199429506,0.515494553953132,"F46B6.4"
-0.193739514033884,5.39100651321281,1.2580934615449,0.275598179632031,0.515656979616944,"C16H3.3"
0.172490511557447,5.59132627672418,1.25805725373413,0.27560476517149,0.515656979616944,"hat-1"
-0.112611375726715,7.68898852821034,1.25626391349362,0.275936559007875,0.516124365460545,"prdx-3"
0.295549583584717,4.15636808801641,1.25609185447112,0.275970670723139,0.516124365460545,"oac-32"
-0.372978925689475,3.89531455467539,1.25479682924283,0.276212224579972,0.516467484488018,"ubc-17"
0.154118994579921,5.9160128878583,1.25423891331827,0.276312342415257,0.516546054754846,"dod-17"
-0.124758824606196,7.10212249018854,1.25299987483773,0.276542381850506,0.516867420019519,"pgrn-1"
0.271718037671524,4.03784524444631,1.25238912817883,0.276658544345818,0.516975854934566,"acbp-5"
-0.189147819613058,5.90528105139686,1.25162255428721,0.276798638637812,0.517128954849503,"sqst-2"
-0.342174873032151,4.00545598278219,1.2510884111746,0.276900837430195,0.517211207057115,"hasp-1"
-0.152720846061125,6.68915242264296,1.25068317560155,0.276973420941032,0.517238119215862,"sor-1"
-0.267292683254304,4.27187819608003,1.24952047851131,0.277191866900616,0.517537355861693,"ethe-1"
0.240047634758739,4.48713815258543,1.24883015108578,0.277320039410847,0.517642093764403,"glb-19"
-0.157226979276117,6.15484971506176,1.24858605247484,0.277364406106582,0.517642093764403,"Y61A9LA.3"
0.10336364002332,8.64253207689872,1.24746317980866,0.277573876969377,0.517924310626386,"ipgm-1"
0.126990782027527,7.097078959534,1.24678506919769,0.277700648002277,0.518052132057961,"arx-4"
0.387288342135152,3.21020998041319,1.24604667954299,0.277851938903557,0.518225632219745,"twk-40"
-0.134926248883858,6.70079239840214,1.24323722235508,0.278364783542874,0.519006458972442,"ncr-1"
-0.32038269402534,3.99517589351198,1.2431323909107,0.278387335827193,0.519006458972442,"E02H4.7"
-0.104404544526123,7.96221549380761,1.24251756389486,0.278499658795454,0.51910701600637,"apb-1"
0.0982405831242438,8.55974962190447,1.24206021431334,0.278585473127198,0.519110906089397,"cif-1"
-0.133120104534578,7.13209248779101,1.24188456225537,0.278618518036059,0.519110906089397,"cisd-1"
0.206478190311345,5.022353097099,1.24142506764457,0.27870534658214,0.519163887798409,"daf-8"
-0.132673844481375,6.48243913784981,1.24068027796872,0.278844738698354,0.519314740629885,"swsn-3"
-0.106360467219711,8.21489964132459,1.23982597839339,0.279005224833264,0.519410975793506,"col-160"
-0.131506979378241,6.85790177679818,1.23938851292412,0.279087596720031,0.519410975793506,"ife-2"
-0.219337203888946,4.72030919827765,1.23925679618321,0.27911325113445,0.519410975793506,"M01E5.4"
0.207078381480352,5.23951696061079,1.23916472079911,0.279130091366704,0.519410975793506,"W03F8.3"
-0.100186949968674,9.3904290223593,1.23814816964217,0.279320986192481,0.519503083635846,"R07E3.1"
0.191044786604829,5.81028119466052,1.2375102890599,0.279441371123121,0.519503083635846,"lin-10"
-0.142253610216501,6.11860458297218,1.23742251814538,0.279457860362851,0.519503083635846,"dnj-8"
0.189470894437781,5.53197638397208,1.2373706748346,0.27946777745619,0.519503083635846,"C28G1.5"
