"logFC","logCPM","F","PValue","FDR","gene"
-9.04197417893595,4.61470376657983,146.971493422341,5.82722113585949e-10,5.57094872246524e-08,"abu-13"
-6.1768768644009,3.73221221482256,106.265393478045,6.22857913467079e-10,5.89130820067638e-08,"dpy-3"
3.38624734424605,4.64448636836958,123.695454673899,6.86608689474244e-10,6.42593458749001e-08,"gadr-6"
-1.68487725538477,5.81568638486137,120.236456448359,8.48161419152178e-10,7.85521164341877e-08,"lys-7"
-1.35058430309027,7.6122612483641,119.919452074836,8.67000411872601e-10,7.94690789892711e-08,"nlp-24"
-4.96973471741239,4.18157026430257,111.575758762202,8.84611292553176e-10,8.00798001897856e-08,"dpy-9"
-5.08133628853871,4.79316449874117,116.766783582603,8.91677001325923e-10,8.00798001897856e-08,"wrt-1"
-8.4844065780874,4.09583256839856,138.956214927841,9.05931652624772e-10,8.05463832348685e-08,"sups-1"
-0.985129840465909,9.20105589930547,118.554759543394,9.55137680978932e-10,8.40804863523137e-08,"metr-1"
-4.21793413252245,4.67469550565384,117.659304489843,1.03875879113656e-09,9.05451412940703e-08,"T26C5.2"
-1.94188049377826,5.32302338768366,117.215030978328,1.05256520643688e-09,9.08578373828181e-08,"F19H8.2"
-1.30098949085109,7.65201544278866,116.364857148737,1.11806804544012e-09,9.55840672308472e-08,"fipr-21"
-1.16616247720947,7.94947461488721,115.827223186313,1.16258189257004e-09,9.77805493191919e-08,"T27D12.1"
-3.21928554888309,4.24268083947755,116.343826660709,1.16575618353777e-09,9.77805493191919e-08,"dpy-10"
-1.60765313357439,6.3427743892353,115.591791280833,1.18290276334444e-09,9.82914810177143e-08,"fkb-5"
1.71256783349553,6.44980926820459,115.019736464147,1.23336242553653e-09,1.00936267901122e-07,"cyp-14A5"
-6.43854641289027,3.96499299503318,98.638254544561,1.23743709382772e-09,1.00936267901122e-07,"cdh-7"
-8.01072895353305,3.66703080292434,133.361439186606,1.24985962605038e-09,1.00963730551558e-07,"C02E7.6"
-8.19177545904951,3.82907248110453,133.214944798216,1.26048522002283e-09,1.00963730551558e-07,"grl-15"
2.02098060537691,5.78918703295053,114.408898319392,1.29036568910824e-09,1.02434297695191e-07,"B0416.7"
-1.96191187987703,5.7469592245196,112.477532158243,1.48896117556243e-09,1.17153573556863e-07,"aagr-4"
-4.27173869808348,4.0655036733956,107.883262935079,1.75119718204668e-09,1.36578018820851e-07,"C34F6.1"
1.0923887461261,7.77253172673395,108.138445523687,2.06862110975387e-09,1.59931393798449e-07,"pro-2"
2.08937276218895,5.94304573522831,107.671150598159,2.14566576032349e-09,1.64457881681346e-07,"cyp-35A3"
1.0941541463399,7.36939097520728,107.125256239677,2.23764905220075e-09,1.70042202761682e-07,"K10C3.5"
-3.22467992112866,7.55431326690473,106.78277892571,2.29854245055873e-09,1.73189329897608e-07,"asp-12"
-2.02991050686443,5.28506579436426,105.576757702435,2.52902418646496e-09,1.88954235645882e-07,"C33G8.2"
1.16369074385822,7.9344548266393,105.352751104341,2.57111878917195e-09,1.90498476287732e-07,"gst-5"
0.981329740165189,8.17934370744089,105.105682650587,2.62174565715705e-09,1.92644137502342e-07,"lpd-6"
-1.13956882245428,7.26972584265368,103.938609356908,2.87666844006421e-09,2.09643107382057e-07,"C50F7.5"
-3.87084195684185,4.07677442792318,102.362212778558,3.1468836915015e-09,2.27471080497072e-07,"cuti-1"
2.15759855448843,5.26368971664669,102.508473346341,3.23075847665431e-09,2.31024394668359e-07,"fmo-2"
1.55746338433226,5.83764470031457,102.430949894793,3.24800914785119e-09,2.31024394668359e-07,"F59A7.2"
-1.70838683398244,5.91268620995623,102.030063637134,3.35531166172492e-09,2.36762507812669e-07,"hrg-2"
-4.44038032825633,3.98401880564759,97.6809003851841,3.5173906119832e-09,2.46245038827895e-07,"Y65B4BM.3"
-4.48856619861575,3.75634300242293,95.0066133954324,3.5652565613648e-09,2.47646063180425e-07,"col-104"
-4.94324263159324,3.36224965345807,84.8736520191132,3.97616395446359e-09,2.74047083094076e-07,"F56D2.3"
-2.03047032233347,5.28342786010004,99.8021677098016,4.02994389528777e-09,2.75617162869258e-07,"F23H12.5"
0.816164008589351,10.4211359145003,99.2652143152024,4.20841676479078e-09,2.85620002032629e-07,"K07H8.10"
-1.38832663990862,6.24319831805709,99.1761184946529,4.24044992332775e-09,2.85620002032629e-07,"ttr-8"
1.28492119578728,6.47094777137535,99.0311008017707,4.29159926261889e-09,2.86891797322891e-07,"aly-1"
1.07955563630956,7.92071726588382,97.2221081844932,4.99399662024581e-09,3.31355402616459e-07,"tag-151"
1.91610680664786,5.21272361024456,97.0503928491681,5.07194643238334e-09,3.34034635039409e-07,"mrp-6"
-4.66335234082701,4.41052213160548,94.9410660916871,5.11232211787158e-09,3.34218058455854e-07,"T19A5.3"
-1.15538745334747,7.32320210339697,96.4563902273958,5.3290111566338e-09,3.45841154698037e-07,"Y50D4B.4"
2.42214184080942,5.28158502664993,95.8828905474481,5.60485487419585e-09,3.61106990481705e-07,"T16G1.6"
-1.47133742635237,7.51703708399465,92.9908600812374,7.18846249993013e-09,4.59803022207761e-07,"acs-2"
4.01935800623637,3.95790691271864,91.1592793777061,7.78928760776578e-09,4.94675400861754e-07,"F10D2.8"
-1.00608766741716,8.37555711385729,91.3766774676852,8.29001230643572e-09,5.22741130613617e-07,"his-24"
1.36186309799329,6.11440415070986,90.7804934319849,8.74462391495732e-09,5.47524304421729e-07,"Y66D12A.8"
-5.94842966408889,3.53094208868758,79.0812658825632,8.96782987498094e-09,5.57573254674514e-07,"wrt-4"
-5.91439195586588,3.50086821599461,78.8862315098836,9.1697609363365e-09,5.6368864485118e-07,"F13H8.5"
-0.938406400921608,8.43662461654766,90.2210885926394,9.19298768455978e-09,5.6368864485118e-07,"ugt-12"
-1.67214005530266,5.8813756511288,89.4405879300207,9.86721891102556e-09,6.00886598204988e-07,"gly-8"
-7.62669978479458,3.32918095899818,100.492962186537,1.09768298724218e-08,6.63911526501373e-07,"let-4"
-4.1161357278402,3.4414669573728,82.7219937731886,1.151185262549e-08,6.88348755038047e-07,"nas-37"
-1.52857918183444,5.58090471921226,87.7308692316562,1.15357062760847e-08,6.88348755038047e-07,"let-653"
-2.80126820009121,4.22615115788515,87.8399000144266,1.16927613716446e-08,6.93068942368617e-07,"suro-1"
-8.02561063119091,3.68023853168048,99.0106275310113,1.22723133805611e-08,7.22603564679262e-07,"D1014.5"
-8.28130740134823,3.90971989984336,98.093067169735,1.31603009627263e-08,7.697910253921e-07,"K02E11.10"
-3.82631219877444,3.68049921060517,84.558807841986,1.32551727445551e-08,7.70272816155815e-07,"K02E10.4"
-3.25312354958362,3.8398779550989,86.2566549242277,1.34349699016824e-08,7.75651411661415e-07,"col-97"
-3.99095365890705,3.60061412599478,82.8032214108995,1.39330620252019e-08,7.99218415910132e-07,"F35F10.1"
-1.03972085020631,7.97169129500333,85.4336633567429,1.4279888751733e-08,8.13862121100373e-07,"dpy-6"
-7.73853097239918,3.42602491294216,96.9107733941891,1.44190024206569e-08,8.16556372751977e-07,"K08B12.1"
1.10601156047534,7.03587636455003,84.8709217448243,1.50591696691747e-08,8.4613028443751e-07,"npp-11"
-1.35853504962022,5.90525431542964,84.8221621551488,1.51315617169682e-08,8.4613028443751e-07,"grsp-1"
-5.47129281861613,3.81909404360579,72.9122974794029,1.53739572231887e-08,8.54311585446066e-07,"T06D8.10"
