"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gst-7",288.549480167287,0.72507212045902,0.138864483960372,0.000145335989636872,0.00457655917017368
"gst-24",695.08593372695,3.44427634886128,0.134292895586062,3.22151458945051e-120,2.90129603925913e-116
"hil-3",215.981908766473,-0.918115572065792,0.192559991284276,2.86987399879701e-05,0.00109473993123862
"his-24",472.06456808392,-0.944742194693592,0.133201595402536,3.91426331375068e-08,2.28908151971679e-06
"ikb-1",44.4795592710362,-0.860563004741908,0.315589497960822,0.00130389365461182,0.0326190729262057
"lem-2",180.141483839636,0.788019665649649,0.160928937172216,0.000100358760158157,0.00331073624170097
"let-4",12.1942223844703,-6.40858187700821,1.19882787501042,3.30290987890065e-08,1.98306709129195e-06
"let-653",65.9849473796442,-1.4196276506227,0.252816826619159,1.18739574072535e-07,6.40340481495357e-06
"lgx-1",20.0229032013433,-3.69193091147795,0.607649765698301,6.54382304126122e-09,4.60419299293739e-07
"lon-3",10.9774237667146,-5.30613965181359,1.27334028221259,4.3603454590833e-06,0.000194402332695565
"lpd-6",413.002415151851,0.932301015642452,0.123619835154317,1.08764175024945e-08,7.13897152309877e-07
"lrp-1",857.23189645523,-0.770427822695199,0.122002050762718,7.21246292700497e-06,0.000312285774618302
"lys-2",1030.12999272469,0.638176560716489,0.141614545963797,0.00167316782751166,0.0403982559103755
"lys-4",94.5095809284688,-1.41768794984466,0.224745150543447,1.03335176173647e-08,6.89776048208522e-07
"lys-7",77.8727495496318,-1.60900972118606,0.235065262387451,3.46052330848933e-10,3.08569038774801e-08
"mac-1",121.873007770764,0.706832973304742,0.177731862412045,0.00121291102618886,0.0305125047537902
"mrp-2",439.074576984889,1.71909124850934,0.13843833470659,3.60970231708132e-26,2.95536173342131e-23
"mrp-6",51.3970337761373,1.83934203582854,0.29814853026521,2.81455391386232e-09,2.09486549985488e-07
"mtl-1",11.6253021783925,1.47936559137502,0.850806725477851,0.000588001679273745,0.016394870351515
"mtl-2",178.432791305393,4.46204658307104,0.24822156359185,3.95620299303008e-63,1.18765213850763e-59
"mua-3",200.055188183822,-1.7254928120456,0.167694662557415,3.79957385642475e-19,1.31611392888313e-16
"mua-6",535.524431329926,-0.701986547608051,0.118266406918622,6.17766880081886e-05,0.00215643741163468
"mup-4",1093.10356209664,-0.552514927709566,0.0913374922957072,0.00145972822548134,0.0359188863352048
"nas-37",13.4215838426177,-4.04089247986359,0.816259222127011,7.23683570518877e-07,3.41230064716911e-05
"nhr-85",59.2704791916031,-0.857647398631176,0.262713107181914,0.000701033132507984,0.0190740313938577
"nlp-24",276.716167450038,-1.29569851263045,0.153812946317185,3.32531384443261e-12,3.65216786377562e-10
"nlp-33",279.374188680602,-1.5557364892258,0.163586969162418,4.20625009385506e-16,8.60942916937697e-14
"npp-9",508.148860340934,0.70704153355924,0.116836968942516,4.48321536296746e-05,0.00163464929388198
"npp-11",186.461820309398,1.03399685384196,0.165234863013936,1.86164275848695e-07,9.58054553310483e-06
"npp-12",633.77309364511,0.58349657683998,0.108566685649751,0.00160295792089204,0.0389116955136219
"pgp-1",183.951813171883,2.131785133197,0.34775195483799,2.93356354536714e-09,2.16554699094889e-07
"pgp-3",272.283854107268,1.34467997014152,0.142593407308325,1.04863604963538e-14,1.85176789470906e-12
"pgp-4",103.873843347026,1.7201965644789,0.210829838780819,2.37799479700792e-13,3.37989667457309e-11
"pgp-8",400.647928553559,4.82627332047012,0.196343065543771,3.07175504450031e-117,1.38321129653849e-113
"phg-1",6.97591162503288,-2.69992175307145,1.57770879742016,0.00035683636573953,0.0105366174093449
"phy-2",222.589593605673,-0.668254334966238,0.140931487757506,0.000770476110525474,0.0207751732077617
"pqn-13",12.2205033142902,-6.39329708580963,1.21159652435953,4.64426671323257e-08,2.69846877544339e-06
"pqn-32",35.9594832117177,-4.75514046560519,0.59433460934895,1.80258781052801e-14,3.06303883426702e-12
"abu-13",32.8574268386159,-7.77665343375289,1.18153350785978,1.0222490091068e-11,1.08310289129598e-09
"abu-14",25.3328471396274,-6.50842454643799,1.17635213182816,1.20784151779168e-08,7.82577029441144e-07
"ptr-1",22.8437647555249,-1.404389115857,0.553296743998188,0.000206653056102919,0.00635193659816686
"ptr-2",15.216192096492,-3.07068756574423,0.645524889528423,1.29508111884643e-06,5.95076558996477e-05
"ptr-4",62.0409231478854,-4.14969612926672,0.397354206376724,1.46077474764537e-22,8.22233586080887e-20
"ptr-6",25.1063096609052,-0.942236524393366,0.444294156709768,0.00146910013057961,0.0360354312323923
