"","Aux_rep1_RNA","Aux_rep2_RNA","Aux_rep3_RNA","noAux_rep1_RNA","noAux_rep2_RNA","noAux_rep3_RNA"
"zip-1",5.65128786324646,0.896315097900887,2.41489699063195,6.2353902080749,3.71790335284809,1.3219802225576
"zyg-1",1.88376262108215,6.27420568530621,3.21986265417593,4.15692680538327,0,0
"zyg-8",32.0239645583966,40.3341794055399,16.0993132708797,15.5884755201873,22.3074201170885,31.7275253413823
"zyg-9",64.0479291167932,79.7720437131789,63.5922874199747,67.5500605874781,70.6401637041137,103.114457359492
"zyg-11",66.8735730484164,96.8020305732958,94.98594829819,64.4323654834406,77.1464945715979,75.352872685783
"zyg-12",4.70940655270538,8.06683588110798,4.8297939812639,10.3923170134582,23.2368959553006,9.25386155790317
"zyx-1",162.003585413065,168.507238405367,136.039197138933,151.727828396489,158.940368334256,183.755250935506
"tufm-1",165.771110655229,129.965689195629,162.603064035885,168.355535618022,136.632948217167,126.910101365529
"tufm-2",11.3025757264929,17.0299868601169,20.1241415885996,18.7061706242247,20.4484684406645,11.8978220030184
"npr-3",1.88376262108215,5.37789058740532,4.8297939812639,5.19615850672908,4.64737919106011,0
"mak-2",37.675252421643,20.6152472517204,22.5390385792315,22.863097429608,9.29475838212023,23.7956440060367
"rfp-1",24.488914074068,38.5415492097381,23.3440042427755,13.5100121174956,25.0958476317246,47.5912880120735
"wwp-1",56.5128786324646,57.3641662656568,73.2518753825024,80.0208410036279,53.9095986162973,66.0990111278798
"alx-1",54.6291160113824,68.1199474404674,89.3511886533821,60.2754386780574,53.9095986162973,80.6407935760134
"mdt-1.2",1.88376262108215,0.896315097900887,1.60993132708797,3.11769510403745,0,1.3219802225576
"mdt-4",7.53505048432861,11.6520962727115,8.04965663543983,12.4707804161498,9.29475838212023,7.93188133534558
"mdt-8",17.8957449002804,40.3341794055399,13.6844162802477,15.5884755201873,17.6600409260284,34.3714857864975
"mdt-10",0,0,1.60993132708797,5.19615850672908,0.929475838212023,1.3219802225576
"mdt-11",4.70940655270538,0,2.41489699063195,9.35308531211235,0.929475838212023,1.3219802225576
"mdt-15",90.4206058119433,49.2973303845488,72.4469097189585,111.197792044002,104.101293879747,84.6067342436861
"mdt-17",16.0119822791983,16.133671762216,12.0744849531597,13.5100121174956,25.0958476317246,34.3714857864975
"mdt-18",8.47693179486968,8.06683588110798,6.43972530835186,10.3923170134582,1.85895167642405,2.64396044511519
"mdt-19",10.3606944159518,15.2373566643151,14.4893819437917,1.03923170134582,13.9421375731803,11.8978220030184
