"","Aux_rep1_ribo","Aux_rep2_ribo","Aux_rep3_ribo","noAux_rep1_ribo","noAux_rep2_ribo","noAux_rep3_ribo"
"agt-1",17.1716100278738,28.3160295462421,34.9383932202906,23.2053513421916,15.7540976977306,20.1270697768491
"agt-2",26.2092995162284,33.7614198435963,20.1160445813794,18.3709031459017,23.1060099566715,21.9568033929263
"aha-1",97.60704647423,100.195181471318,101.638962095391,122.794984185764,128.133327941542,108.869150156593
"aip-1",466.344777599099,514.044844070241,463.72776456022,400.292310652806,322.433866213553,455.603670403221
"air-1",56.9374437766342,58.8102152114259,68.8180472520875,81.2187296976707,107.127864344568,102.465082500323
"air-2",26.2092995162284,34.8504979030672,33.8796540317969,23.2053513421916,35.709288114856,23.7865370090035
"ajm-1",422.963868054997,421.473209015219,383.263586234703,458.305689008285,472.622930931918,453.773936787144
"aka-1",166.293486585725,140.49106967174,133.4011377502,162.437459395341,143.887425639273,151.867890134407
"akt-1",159.967103943877,159.005396682744,159.869617462542,228.185954864884,179.596713754129,138.144888013828
"akt-2",164.485948688054,144.847381909623,106.932658037859,183.709031459017,161.742069696701,136.315154397751
"alg-1",187.983941357776,189.499582347928,177.868183666934,204.980603522693,232.110372746564,213.163966272993
"alg-2",112.971118604433,124.154898779677,137.636094504175,106.357860318378,97.6754057259297,117.10295142894
"alh-1",1073.67751121653,1024.82245396207,1048.15179660872,870.200675332186,918.989032367618,838.932862971392
"alh-3",225.03846826003,212.370221596816,206.454141756262,291.033781416653,331.886324832191,286.35331091608
"alh-4",469.959853394441,425.829521253102,405.497109193069,549.193315098535,476.824023651313,515.070012925729
"alh-5",251.247767776259,295.1401541166,261.508579557932,219.483948111563,233.160645926413,194.866630112221
"alh-6",393.139492743426,375.731930517443,409.732065947044,305.537126005523,291.97594399794,305.565513884891
"alh-7",147.31433866018,156.827240563802,125.989963430745,143.099666610182,172.244801495188,155.527357366561
"alh-8",1345.711964816,1434.31580432311,1769.1531839729,1321.73813686566,1374.80759242196,1574.48577663442
"alh-9",375.967882715553,437.809379907281,440.43550241336,740.637463671616,655.370464225593,697.12850772541
"alh-10",75.0128227533434,69.7009958061344,75.1704823830494,74.4505022228648,73.5191225894094,70.4447442189719
"alh-11",97.60704647423,77.3245422224303,77.2879607600367,78.3180607798968,107.127864344568,79.5934122993578
"alh-12",655.232487905711,618.596337779442,610.892511760838,612.041141650304,575.549702557091,534.28221589454
"aly-1",196.117861897295,163.361708920627,172.574487724466,71.5498333050909,76.6699421289556,70.4447442189719
"aly-2",150.929414455522,160.094474742215,127.048702619238,193.377927851597,160.691796516852,166.505759063024
"aly-3",194.310323999625,227.617314429408,207.512880944756,242.689299453754,253.115836343538,239.695103706112
"ama-1",564.855593022164,516.223000189183,519.840941550384,377.086959310614,407.505993781298,402.541395536982
"amt-1",28.0168374138993,21.781561189417,27.527218900835,6.76822747480589,7.35191225894095,7.31893446430877
"amt-4",288.302294678513,327.812495900726,345.148975448931,232.053513421916,261.518021782328,282.693843683926
"amx-1",28.9206063627348,25.0487953678295,29.6446972778223,29.9735788169975,42.0109271939483,33.850071897428
"amx-2",47.8997542882795,42.4740443193631,43.4083067282398,45.4438130451253,45.1617467334944,39.3392727456596
"anc-1",895.635028295944,609.883713303676,731.588779249115,667.153851088009,1080.73110206432,812.401725538273
"aos-1",84.9542811905335,93.660713114493,92.1103093989479,107.324749957636,87.1726739274426,93.3164144199368
"apc-2",20.7866858232156,32.6723417841255,32.8209148433033,36.7418062918034,29.4076490357638,33.850071897428
"ape-1",110.259811757926,126.333054898619,120.696267488277,87.9869571724766,101.876498445325,88.7420803797438
"aph-1",6.32638264184824,13.0689367136502,14.8223486389112,11.6026756710958,11.5530049783358,10.9784016964632
"aph-2",93.9919706788881,90.3934789360805,85.757874267986,70.5829436658329,78.770488488653,65.8704101787789
"apl-1",1869.89795514057,2158.55271387122,2075.12880944756,1951.18329202261,1974.51357811557,1897.43375987205
"apm-1",84.9542811905335,58.8102152114259,48.7020026707081,75.4173918621228,73.5191225894094,84.1677463395508
"apn-1",55.1299058789632,51.1866687951299,52.9369594246827,55.1127094377051,35.709288114856,58.5514757144701
"app-1",220.519623515853,203.657597121049,218.100272829693,189.510369294565,194.300538272011,213.163966272993
"1-Apr",58.7449816743051,53.3648249140716,70.9355256290748,58.9802679947371,70.3683030498633,63.1258097546631
"aps-2",45.1884474417731,53.3648249140716,60.3481337441383,69.6160540265749,49.3628394528892,57.6366089064315
"apg-1",225.942237208866,201.479441002107,205.395402567769,223.351506668594,207.954089610044,230.546435625726
"aps-1",72.301515906837,56.6320590924842,75.1704823830494,87.0200675332186,75.6196689491069,94.2312812279754
"apb-1",321.741745785425,345.237744852259,359.971324087842,368.384952557292,375.997798385837,356.798055135052
"apa-2",221.423392464688,200.390362942636,202.219185002288,259.12642332114,230.009826386867,230.546435625726
"apd-3",123.816345990458,124.154898779677,111.167614791834,113.126087793184,124.982508401996,130.825953549519
"apb-3",93.9919706788881,94.7497911739639,95.2865269644288,70.5829436658329,82.9715812080478,80.5082791073964
