"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005654","nucleoplasm","7/244","278/12591",0.0251798561151079,1.29934249321854,0.709473018830693,0.294302452604135,0.665416608690636,0.575360225559572,"176330/177875/174598/180246/176588/172226/186322",7
"GO:0000781","chromosome, telomeric region","1/244","18/12591",0.0555555555555556,2.86680327868852,1.11414676572684,0.297060986022605,0.665416608690636,0.575360225559572,"181545",1
"GO:0000139","Golgi membrane","5/244","195/12591",0.0256410256410256,1.32313997477932,0.639284629646519,0.327254002974788,0.678749043206969,0.586888270442116,"176595/3565627/187765/189434/177424",5
"GO:0000407","phagophore assembly site","1/244","23/12591",0.0434782608695652,2.2435851746258,0.839138065191358,0.36268301155629,0.712640303408851,0.616192743549007,"177040",1
"GO:0005811","lipid droplet","1/244","23/12591",0.0434782608695652,2.2435851746258,0.839138065191358,0.36268301155629,0.712640303408851,0.616192743549007,"181027",1
"GO:0022624","proteasome accessory complex","1/244","24/12591",0.0416666666666667,2.15010245901639,0.792781303553053,0.37505612940959,0.724246318859898,0.626228020066829,"176588",1
"GO:1990904","ribonucleoprotein complex","10/244","459/12591",0.0217864923747277,1.12423657987785,0.381168219285622,0.398285116485553,0.732753976991333,0.633584265819573,"171886/179425/174598/172838/178346/172420/174038/172226/186322/176053",10
"GO:0031462","Cul2-RING ubiquitin ligase complex","1/244","26/12591",0.0384615384615385,1.98470996216898,0.706546604001084,0.399089219611351,0.732753976991333,0.633584265819573,"173273",1
"GO:0005788","endoplasmic reticulum lumen","1/244","28/12591",0.0357142857142857,1.84294496487119,0.627709368909359,0.422201726101784,0.738853020678122,0.638857875022437,"178170",1
"GO:0009897","external side of plasma membrane","1/244","31/12591",0.032258064516129,1.66459545214172,0.520799365465691,0.455220857122812,0.770984463197576,0.666640701261062,"178120",1
"GO:0070161","anchoring junction","3/244","131/12591",0.0229007633587786,1.1817357026655,0.293930013973632,0.468097709798528,0.770984463197576,0.666640701261062,"176430/181698/176060",3
"GO:0098794","postsynapse","3/244","142/12591",0.0211267605633803,1.09019279612099,0.151941302081963,0.521772054104885,0.846869570319456,0.732255643509304,"181516/184533/173802",3
"GO:0031967","organelle envelope","7/244","356/12591",0.0196629213483146,1.01465509301897,0.0394310775725239,0.538375460324169,0.849268331778971,0.734329760560764,"176330/175058/181698/175443/171954/172348/174004",7
"GO:0030139","endocytic vesicle","1/244","45/12591",0.0222222222222222,1.14672131147541,0.138603395502996,0.586115978696028,0.864525749961981,0.747522265004721,"172520",1
"GO:0031965","nuclear membrane","1/244","47/12591",0.0212765957446809,1.09792465992326,0.0945474962125002,0.602058848427936,0.864525749961981,0.747522265004721,"175058",1
"GO:0031253","cell projection membrane","1/244","48/12591",0.0208333333333333,1.0750512295082,0.0732326539191636,0.609799412919612,0.864525749961981,0.747522265004721,"171740",1
"GO:0034702","monoatomic ion channel complex","2/244","140/12591",0.0142857142857143,0.737177985948478,-0.439592925399348,0.758418860802355,0.97763914811387,0.845327082955602,"181516/173802",2
"GO:0098797","plasma membrane protein complex","2/244","144/12591",0.0138888888888889,0.716700819672131,-0.480641507801361,0.772055090397908,0.97763914811387,0.845327082955602,"181516/173802",2
"GO:0000785","chromatin","4/244","278/12591",0.0143884892086331,0.742481424696309,-0.610345958775403,0.791139876955938,0.97763914811387,0.845327082955602,"181073/181545/174004/176864",4
"GO:0061695","transferase complex, transferring phosphorus-containing groups","2/244","160/12591",0.0125,0.645030737704918,-0.635220872895832,0.82010223944944,0.97763914811387,0.845327082955602,"176230/177040",2
"GO:0099513","polymeric cytoskeletal fiber","2/244","162/12591",0.0123456790123457,0.637067395264116,-0.653570517567989,0.825426407626151,0.97763914811387,0.845327082955602,"176430/181698",2
"GO:0055120","striated muscle dense body","1/244","100/12591",0.01,0.516024590163934,-0.683048821303739,0.859805729857039,0.983229326533947,0.850160695875218,"187470",1
"GO:0005794","Golgi apparatus","5/244","385/12591",0.012987012987013,0.670161805407707,-0.923999381963654,0.871498814149661,0.983229326533947,0.850160695875218,"176595/3565627/187765/189434/177424",5
"GO:0048471","perinuclear region of cytoplasm","1/244","115/12591",0.00869565217391304,0.44871703492516,-0.834858482342069,0.895733423152799,0.983229326533947,0.850160695875218,"179971",1
"GO:0030054","cell junction","6/244","493/12591",0.0121703853955375,0.628021813586938,-1.18443490208379,0.920288180536904,0.983229326533947,0.850160695875218,"176430/181698/176060/181516/184533/173802",6
"GO:0005759","mitochondrial matrix","1/244","148/12591",0.00675675675675676,0.34866526362428,-1.12046837060888,0.94571156232165,0.983229326533947,0.850160695875218,"172511",1
"GO:1990234","transferase complex","4/244","388/12591",0.0103092783505155,0.531984113571066,-1.31634644962253,0.945909471898685,0.983229326533947,0.850160695875218,"173273/177804/176230/177040",4
"GO:0043292","contractile muscle fiber","1/244","162/12591",0.00617283950617284,0.318533697632058,-1.2271873018074,0.958863097098122,0.983229326533947,0.850160695875218,"187470",1
"GO:0045202","synapse","3/244","359/12591",0.00835654596100279,0.431218320471254,-1.53699035269212,0.972073912013893,0.983229326533947,0.850160695875218,"181516/184533/173802",3
"GO:0140535","intracellular protein-containing complex","4/244","438/12591",0.0091324200913242,0.471255333483045,-1.58331876929582,0.972695216892303,0.983229326533947,0.850160695875218,"173273/176588/177804/176230",4
"GO:0019866","organelle inner membrane","1/244","186/12591",0.00537634408602151,0.277432575356954,-1.39560822541241,0.974450493261323,0.983229326533947,0.850160695875218,"175058",1
"GO:0043005","neuron projection","3/244","498/12591",0.00602409638554217,0.310858186845744,-2.20588719825765,0.996953945442028,0.996953945442028,0.862027847562656,"181516/184533/173802",3
