gene_symbol,Aux_rep1_RNA,Aux_rep2_RNA,Aux_rep3_RNA,noAux_rep1_RNA,noAux_rep2_RNA,noAux_rep3_RNA
col-73,1,1,1,61,49,17
col-76,11,1,13,6,8,6
col-80,34,28,34,69,65,31
col-90,0,0,0,44,49,15
col-91,9,6,13,6,7,8
col-93,0,0,1,8,10,6
col-94,18,7,9,13,6,8
col-97,0,1,0,11,7,2
col-98,69,81,121,100,101,56
col-99,10,27,21,9,9,23
col-103,123,97,153,123,147,78
col-104,0,0,0,1,2,0
col-107,63,41,121,96,101,62
col-109,1,1,0,3,7,0
col-111,0,0,0,6,6,4
col-118,6,4,5,4,1,0
col-125,8,3,1,28,30,19
col-142,4,1,9,5,10,7
col-144,145,270,304,240,311,248
col-147,41,19,41,40,44,33
col-149,1,3,1,5,7,3
col-155,2,1,1,4,2,3
col-160,158,118,187,171,179,137
col-166,261,289,316,252,332,272
col-167,24,18,34,29,37,22
col-168,12,12,16,17,11,9
col-169,43,66,72,50,54,75
col-170,7,5,5,18,11,15
col-173,0,0,0,2,0,0
col-176,4,3,6,2,13,23
col-180,0,0,0,9,13,9
coq-1,20,13,19,14,17,10
coq-2,2,3,9,6,5,0
coq-3,6,12,7,9,8,5
coq-4,10,1,6,0,2,0
coq-5,13,8,8,10,4,3
coq-6,14,23,33,11,24,23
coq-8,39,26,38,36,39,21
cor-1,27,26,30,32,28,17
cpf-1,7,14,8,4,9,5
cpf-2,17,8,14,8,9,4
cpin-1,2,5,6,2,7,0
cpl-1,111,90,107,154,186,75
cpn-1,5,5,12,7,2,0
cpn-3,68,54,89,60,46,35
cpn-4,12,14,10,15,13,11
cpr-1,296,315,319,238,373,233
cpr-3,20,20,21,18,10,15
cpr-4,254,321,272,321,433,271
cpr-5,419,586,642,495,567,427
cpr-6,139,233,181,181,215,166
cps-6,32,9,31,28,23,21
cpz-1,14,20,14,33,55,11
cpz-2,186,191,223,161,215,137
crb-1,6,4,1,4,13,1
crh-1,57,50,58,46,67,41
crn-1,12,20,4,8,15,8
crn-2,4,15,10,6,13,13
crn-3,50,45,47,38,25,22
crn-5,14,7,2,1,1,4
crn-6,6,10,1,6,7,4
cars-1,72,59,104,69,80,77
crt-1,530,483,629,681,615,403
csb-1,8,9,9,7,1,2
csc-1,1,7,12,9,3,1
