gene_symbol,Aux_rep1_RNA,Aux_rep2_RNA,Aux_rep3_RNA,noAux_rep1_RNA,noAux_rep2_RNA,noAux_rep3_RNA
sqv-8,4,16,11,3,9,15
src-1,13,20,27,22,17,19
src-2,8,5,1,4,2,0
srf-3,3,4,6,2,1,2
srp-3,3,3,2,0,3,2
srp-6,6,16,11,9,17,2
srp-7,33,48,30,31,30,26
srr-1,0,2,0,0,1,0
srr-4,9,12,11,10,14,15
sars-2,19,15,9,9,7,1
sars-1,104,72,81,75,100,52
srv-1,1,2,7,7,5,0
srw-85,0,5,7,10,2,5
ssr-2,9,5,3,4,3,0
stc-1,14,10,16,26,14,8
stl-1,17,14,17,8,14,16
stn-1,13,37,30,11,9,18
sto-2,3,1,0,1,2,0
sto-4,10,11,15,1,8,5
sto-5,2,8,6,4,7,5
sto-6,0,0,3,2,0,3
str-176,3,0,3,4,1,2
sue-1,14,27,32,45,34,11
suf-1,15,23,29,14,12,10
sul-2,10,6,9,8,12,3
sup-9,3,4,3,3,0,4
sup-10,5,4,3,2,0,0
sup-12,7,11,20,11,8,11
sup-17,32,36,25,42,30,30
sup-26,51,75,82,79,90,48
sup-37,53,28,58,41,46,22
sur-2,34,22,23,27,48,22
sur-5,72,67,76,48,38,28
sur-6,41,39,57,37,32,47
sur-7,6,14,7,1,10,6
swp-1,10,18,20,7,15,15
syd-1,29,26,48,12,20,19
syd-2,17,22,27,11,14,7
syg-1,10,15,5,9,14,5
sym-1,1,5,5,53,57,50
sym-2,5,12,24,19,30,8
sym-4,40,44,46,32,48,33
syx-3,1,1,11,4,13,4
syx-2,25,32,17,14,28,16
syx-5,21,19,28,21,15,13
sys-1,7,4,8,3,3,0
tac-1,12,22,20,12,10,18
taf-1,46,34,51,41,38,43
taf-2,23,10,14,11,22,8
taf-3,18,16,19,16,11,16
taf-4,2,2,8,6,5,9
taf-5,4,4,8,5,6,10
taf-6.1,2,10,12,2,7,5
taf-7.2,6,11,9,1,4,2
taf-8,4,4,5,3,5,9
taf-9,6,0,3,5,7,1
taf-10,12,5,8,7,16,1
taf-11.1,4,1,6,3,2,2
taf-12,16,6,6,5,7,4
taf-13,3,5,12,5,4,3
fut-3,1,4,4,6,7,11
tag-10,244,426,429,232,280,229
itsn-1,97,157,129,101,138,66
srgp-1,32,41,45,37,35,43
lim-9,51,52,64,46,69,45
tag-18,45,86,64,61,51,41
nck-1,30,32,27,21,27,21
nlg-1,32,32,18,35,17,19
raga-1,6,13,7,8,12,7
tag-30,16,23,24,13,22,25
asd-2,36,26,29,29,31,14
ctbp-1,11,19,15,10,16,14
tag-51,8,2,5,4,3,1
tag-52,19,43,35,35,50,30
atrn-1,39,42,57,40,54,37
sdhb-1,101,125,145,55,84,87
prdx-2,677,1035,990,767,860,761
ttn-1,442,278,399,286,305,261
mrck-1,61,64,79,57,65,52
nrfl-1,80,66,97,77,78,42
ant-1.1,1877,2500,2533,1910,2128,1992
tag-63,2,1,5,1,1,4
cpna-4,1,3,2,0,4,1
tag-65,11,10,19,7,11,8
pak-2,7,7,12,7,4,7
shn-1,35,36,27,33,34,29
tag-68,3,5,4,1,2,0
atx-3,5,8,9,3,9,0
tag-72,14,18,17,13,12,9
glod-4,18,8,11,8,9,8
tag-77,28,18,14,13,20,12
heh-1,17,12,12,10,16,8
tag-89,7,0,0,0,2,0
ppm-1.A,34,21,59,46,46,30
svh-5,12,8,19,9,2,14
nduf-2.2,2,6,7,2,1,0
bath-47,5,17,17,8,12,9
fntb-1,19,16,7,12,11,6
magu-2,27,23,21,13,15,20
rhgf-1,7,7,19,20,14,8
tag-120,4,0,0,4,5,4
tag-123,33,23,50,36,32,35
tag-124,5,2,15,3,1,1
wdr-5.1,8,17,21,13,18,13
tyra-3,2,5,9,4,4,2
rhgf-2,21,15,11,8,31,10
chup-1,6,1,0,0,0,0
tag-131,5,17,28,15,13,8
tmbi-4,24,47,31,44,28,49
plrg-1,28,15,22,20,18,9
dgk-4,51,78,84,51,67,72
zhit-3,29,24,30,21,9,5
kdin-1,69,75,85,67,28,48
acl-3,6,23,11,1,9,2
let-391,4,10,3,7,5,5
ivns-1,23,13,36,49,36,25
zipt-7.2,33,35,26,21,25,28
cpna-1,106,153,152,103,119,112
cgef-1,10,29,15,5,14,12
tag-151,230,198,236,128,126,124
ten-1,79,62,59,44,60,49
tag-153,9,8,5,6,2,4
snx-3,29,47,31,33,33,26
kcc-1,182,176,149,159,142,85
lagr-1,8,15,3,6,2,8
tns-1,68,64,77,52,65,37
mtrr-1,31,17,25,24,30,27
abcf-1,50,33,55,35,41,26
rimb-1,38,40,56,42,43,22
tdp-1,15,20,8,8,5,8
txdc-9,10,8,11,14,6,10
vps-16,21,22,20,15,23,14
madd-3,38,82,68,25,36,32
bckd-1B,25,33,44,26,27,22
cox-6A,33,22,32,36,42,20
tag-175,1,2,1,0,1,0
tam-1,71,68,51,37,63,43
tap-1,2,4,10,1,6,11
tax-6,132,204,165,129,163,134
tba-1,263,336,311,288,312,200
tba-2,236,240,320,302,318,222
tba-4,36,63,45,59,44,42
tba-5,7,5,0,4,2,0
tba-7,29,51,50,19,44,34
tba-8,2,5,8,8,18,6
tba-9,12,6,13,11,2,2
tbb-1,148,279,236,198,213,205
tbb-2,248,326,342,276,317,290
tbb-4,5,5,3,12,5,6
tbb-6,4,2,5,0,2,0
tbg-1,8,4,4,7,6,5
tbp-1,7,5,11,1,4,5
tbx-2,10,17,12,11,11,14
tcl-2,6,25,15,3,8,6
tdc-1,10,8,13,15,16,6
teg-1,4,4,7,9,7,6
tfg-1,29,102,106,66,97,59
tgt-1,7,8,12,2,12,1
tgt-2,7,10,14,3,9,5
tig-2,10,11,5,8,15,13
tim-1,30,13,12,23,23,23
tin-9.1,22,40,39,31,31,37
tin-10,13,6,13,2,6,1
tin-13,13,17,21,17,10,12
tir-1,49,70,54,43,31,17
tlf-1,18,21,12,6,7,2
tli-1,2,2,5,2,4,2
tlk-1,93,143,114,88,107,74
tlp-1,11,9,6,12,12,1
tmd-2,18,16,32,13,16,14
tnc-2,43,36,31,35,22,23
tni-1,366,394,370,302,370,212
tni-3,60,65,47,34,60,23
tni-4,102,83,109,76,92,64
tnt-2,410,507,434,368,390,270
tnt-3,142,174,227,118,156,110
tnt-4,171,114,135,157,163,85
toc-1,16,6,13,28,14,8
toh-1,6,9,13,17,13,11
dpy-31,10,18,5,6,10,3
tol-1,44,57,52,33,36,16
tom-1,45,42,34,25,41,21
top-1,45,55,50,51,70,36
top-3,7,9,3,4,10,6
tpa-1,55,75,59,41,66,39
tph-1,2,1,0,4,3,1
tpi-1,98,74,95,95,95,54
tps-1,63,50,79,83,48,66
tps-2,95,73,86,103,77,59
tra-1,44,51,56,28,47,28
tra-2,30,38,30,26,29,28
tra-3,14,5,11,2,15,3
tre-1,24,16,22,20,20,9
tre-2,14,18,18,16,21,15
tre-3,14,13,9,3,16,6
tre-4,3,5,1,2,0,1
tre-5,0,0,2,6,11,7
trm-1,10,11,22,7,8,7
trp-1,10,10,13,9,6,1
trp-2,10,6,3,0,14,3
trp-4,5,5,4,7,11,4
tars-1,168,189,238,159,181,122
tsn-1,240,272,263,285,319,193
tsp-3,4,1,1,1,3,0
tsp-6,2,0,1,5,11,3
tsp-7,7,3,16,7,7,10
tsp-8,26,30,30,19,21,28
tsp-9,15,2,11,10,3,1
tsp-10,3,12,5,5,4,8
tsp-11,0,0,0,2,2,1
tsp-12,4,12,5,2,11,16
tsp-14,4,3,6,3,8,6
tsp-15,2,4,6,1,7,1
tsp-17,2,2,1,5,5,1
tsp-20,0,3,0,1,5,0
tsr-1,10,15,35,20,10,9
ttb-1,9,14,9,0,5,7
tth-1,4,8,7,11,9,4
ttx-1,9,7,13,2,6,2
tub-1,6,1,2,5,6,5
twk-1,6,9,5,1,0,10
twk-2,15,12,18,8,6,10
twk-5,1,1,4,0,3,0
twk-7,5,15,7,7,8,3
twk-8,22,26,27,20,41,15
twk-9,9,3,3,1,4,7
twk-12,15,10,11,5,5,0
twk-13,4,4,18,5,5,2
twk-14,0,0,0,4,5,2
twk-17,8,4,1,4,1,7
twk-18,50,12,36,20,21,23
twk-22,1,3,5,1,0,4
twk-24,5,1,4,1,4,2
twk-29,3,3,6,6,5,2
twk-30,2,5,5,1,0,2
twk-31,11,14,12,13,21,2
twk-33,3,2,5,1,3,0
twk-34,6,4,6,0,1,8
twk-39,12,0,2,3,9,0
twk-40,2,5,6,1,0,5
twk-42,1,0,7,1,5,1
twk-43,9,8,18,5,7,4
twk-46,3,7,9,4,5,3
uaf-1,47,36,46,31,44,32
uaf-2,37,39,53,40,50,17
uba-1,275,275,326,178,172,152
uba-2,12,24,16,8,7,2
ubc-1,13,9,11,14,8,5
ubc-3,34,29,45,40,51,43
ubc-6,11,25,15,7,13,8
ubc-7,26,21,30,22,35,11
ubc-8,2,7,5,6,18,4
ubc-9,12,23,25,29,27,12
ubc-12,28,33,47,28,26,14
ubc-13,9,10,10,6,13,13
ubc-14,10,37,13,10,5,9
ubc-15,2,10,1,2,6,12
ubc-16,10,24,29,18,12,7
ubc-17,6,2,3,5,3,3
ubc-18,11,3,5,5,9,5
ubc-19,5,5,5,1,8,3
ubc-20,9,18,29,11,18,5
ubc-25,38,58,57,59,74,30
ubh-2,0,1,4,2,0,0
ubh-3,19,24,15,13,2,5
ubh-4,20,17,16,23,18,9
ubl-1,379,283,453,389,466,285
ubl-5,5,1,2,2,0,4
ubq-1,331,251,342,319,299,180
ubq-2,390,431,530,406,521,380
ucp-4,2,2,0,1,0,1
uev-1,20,14,25,27,14,14
uev-3,1,3,5,3,3,3
ufd-1,8,21,19,18,10,8
ufd-2,17,6,17,19,11,17
ula-1,3,18,8,1,4,8
ulp-1,20,6,19,21,14,18
ulp-2,4,10,7,10,13,6
ulp-4,60,27,35,51,27,30
unc-1,110,198,125,83,115,132
unc-2,63,60,96,46,41,65
unc-5,20,28,16,14,15,13
unc-6,6,20,13,9,5,8
unc-7,13,16,20,11,9,12
unc-8,4,5,4,2,1,0
unc-9,13,11,18,22,19,13
unc-10,36,31,45,24,14,10
unc-11,44,50,51,47,37,32
unc-13,88,49,85,44,74,56
unc-14,45,73,71,47,74,33
unc-15,1150,1144,1224,993,979,985
unc-16,86,53,86,66,69,53
unc-17,8,22,24,26,14,11
unc-18,51,58,55,25,23,31
unc-22,1443,1053,1318,1015,1075,833
unc-23,198,175,239,198,243,166
unc-24,3,2,2,4,0,0
unc-25,31,39,40,34,37,21
unc-26,44,54,32,24,22,36
unc-27,119,100,141,114,135,70
unc-29,1,4,3,6,0,2
unc-31,32,23,43,14,32,15
unc-32,107,99,81,89,67,71
unc-33,23,38,31,16,24,29
unc-34,24,22,34,24,19,18
tln-1,308,328,334,273,269,274
unc-36,19,19,30,14,19,20
unc-37,26,20,17,9,18,15
unc-38,4,9,11,1,7,6
unc-40,47,53,84,60,38,42
unc-41,30,47,41,39,28,38
unc-43,76,69,77,51,75,46
unc-44,542,522,627,413,433,371
unc-45,31,42,28,50,55,33
unc-46,0,3,6,2,4,0
unc-47,1,3,4,2,11,0
unc-49,1,4,4,5,3,5
unc-50,17,27,48,22,26,13
unc-51,124,304,181,137,184,142
unc-52,499,673,710,631,740,579
unc-53,76,90,76,54,58,44
unc-54,2704,2709,2957,2256,2780,2008
unc-57,17,11,23,20,30,13
unc-58,14,5,5,1,7,8
unc-59,7,8,10,9,17,9
unc-60,26,25,22,18,17,13
unc-61,22,13,13,8,10,14
unc-62,32,38,32,23,25,41
unc-63,25,9,18,6,15,6
unc-64,34,17,35,18,25,4
unc-68,421,351,364,279,306,280
unc-69,2,4,2,2,1,0
unc-70,383,457,512,405,386,327
unc-71,27,27,32,29,24,23
unc-73,142,131,122,108,128,77
unc-75,16,2,11,11,2,7
unc-76,38,14,31,13,15,2
unc-77,16,27,27,22,12,15
unc-78,21,19,29,17,20,18
unc-79,55,45,46,28,40,54
unc-80,101,75,108,75,92,72
unc-82,73,94,71,66,61,46
unc-83,114,89,125,64,131,77
unc-84,48,39,65,25,41,39
unc-85,22,23,11,26,16,2
unc-86,12,22,34,12,8,18
unc-87,337,312,353,306,298,175
unc-89,918,627,828,666,657,633
unc-93,4,7,7,1,9,7
unc-94,68,72,54,62,55,42
unc-95,58,40,30,24,32,12
unc-96,40,45,44,47,46,19
unc-97,48,58,65,36,31,29
unc-98,15,21,15,12,19,3
unc-101,1,3,9,6,3,6
unc-103,26,23,46,34,35,13
unc-104,75,64,59,27,44,39
unc-105,16,7,9,2,12,5
unc-108,67,100,105,96,137,68
unc-112,68,51,99,58,79,40
unc-115,56,64,78,59,72,39
unc-116,137,126,141,130,126,75
unc-119,4,1,8,7,10,13
unc-120,3,1,15,2,6,1
unc-122,13,7,8,9,7,4
unc-129,7,11,17,14,19,11
unc-130,5,11,3,7,1,0
usp-14,20,30,25,23,18,17
cal-5,12,11,8,8,11,3
pnk-4,11,9,7,18,23,4
gyg-1,98,62,88,63,83,51
npr-16,4,11,5,5,4,12
vab-1,22,29,28,19,34,11
vab-2,1,6,3,2,0,0
vab-3,8,14,12,8,8,5
vab-8,43,45,64,9,18,24
vab-9,0,5,3,11,3,7
vab-10,528,592,647,563,663,655
vab-19,18,22,22,10,30,19
vap-1,15,21,30,34,42,18
vav-1,20,19,14,21,30,9
vbh-1,53,55,56,34,41,27
pfd-3,27,24,24,28,17,22
vem-1,26,14,34,19,22,9
spon-1,26,31,10,12,8,16
ver-3,19,6,28,13,7,17
vha-1,101,148,149,107,117,93
vha-2,192,177,247,199,231,156
vha-3,68,96,96,112,104,72
vha-4,86,123,174,107,126,102
vha-5,125,91,123,123,151,72
vha-6,407,564,570,370,453,348
vha-7,21,29,22,20,10,9
vha-8,137,111,160,133,162,90
vha-9,30,30,29,46,42,8
vha-10,110,124,127,139,99,79
vha-11,274,251,311,236,289,192
vha-12,896,1295,1206,930,1174,920
vhp-1,115,150,128,126,120,139
vig-1,587,544,738,617,621,508
vps-26,19,14,8,18,13,4
vps-34,59,21,49,17,37,24
vps-35,18,19,27,21,15,12
vps-54,18,33,37,21,28,12
vars-1,27,13,26,15,14,8
glp-4,145,204,184,157,106,123
wah-1,123,62,119,76,99,55
wee-1.3,7,1,16,6,27,3
wnk-1,148,93,125,179,164,167
wrk-1,28,21,16,28,35,17
wrm-1,8,10,12,11,12,4
wrn-1,12,20,15,11,16,13
wars-1,62,96,89,51,84,58
prx-10,10,3,9,3,1,3
wrt-1,0,0,0,5,6,0
wrt-2,0,0,0,14,15,16
wrt-4,0,1,0,6,2,3
wrt-5,2,1,3,11,4,8
wrt-9,0,0,2,6,0,0
wrt-10,0,0,0,14,1,5
wsp-1,19,18,12,11,17,6
wve-1,11,8,10,10,12,8
xbp-1,299,404,284,360,354,302
xnp-1,81,76,42,53,61,58
xpa-1,2,7,5,7,15,1
xrn-2,42,58,54,26,43,56
xtr-1,1,2,2,2,0,1
yars-2,7,7,7,14,14,3
zag-1,13,5,13,3,16,7
zak-1,12,8,7,3,7,11
zen-4,7,7,10,5,9,14
zfp-1,67,45,69,46,51,47
zig-1,11,10,14,7,11,5
zig-3,3,0,11,0,0,0
zig-4,18,9,22,0,2,0
zig-5,5,1,17,18,3,3
zig-7,5,3,5,5,15,0
zig-8,10,1,3,1,4,0
zip-1,6,1,3,6,4,1
zyg-1,2,7,4,4,0,0
zyg-8,34,45,20,15,24,24
zyg-9,68,89,79,65,76,78
zyg-11,71,108,118,62,83,57
zyg-12,5,9,6,10,25,7
zyx-1,172,188,169,146,171,139
tufm-1,176,145,202,162,147,96
tufm-2,12,19,25,18,22,9
npr-3,2,6,6,5,5,0
mak-2,40,23,28,22,10,18
rfp-1,26,43,29,13,27,36
wwp-1,60,64,91,77,58,50
alx-1,58,76,111,58,58,61
mdt-1.2,2,1,2,3,0,1
mdt-4,8,13,10,12,10,6
mdt-8,19,45,17,15,19,26
mdt-10,0,0,2,5,1,1
mdt-11,5,0,3,9,1,1
mdt-15,96,55,90,107,112,64
mdt-17,17,18,15,13,27,26
mdt-18,9,9,8,10,2,2
mdt-19,11,17,18,1,15,9
mdt-20,1,4,0,0,1,2
immp-1,1,0,1,2,0,1
mdt-22,2,1,7,7,4,0
mdt-27,7,3,9,8,7,9
plin-1,37,50,61,38,37,24
mdt-29,17,16,18,15,17,18
mdt-31,2,0,2,2,0,0
ssl-1,178,183,211,187,144,134
trr-1,129,101,115,108,102,105
mys-1,7,10,20,9,6,5
epc-1,283,225,316,194,271,213
tag-180,28,18,17,14,25,19
pbrm-1,101,95,122,135,129,100
algn-10,5,2,3,7,3,4
cpna-5,19,47,41,34,28,21
tag-189,2,2,0,2,3,0
wts-1,8,11,20,13,5,3
nfx-1,12,36,24,20,13,9
utp-20,219,191,204,149,159,137
chd-7,232,152,208,145,175,132
scpl-1,25,37,27,16,18,17
tag-196,40,28,38,42,45,11
dmd-6,106,154,173,59,100,56
vps-52,9,5,6,11,0,1
rga-9,12,12,9,10,4,9
cTel55X.1,23,44,34,30,35,18
ugt-49,8,12,14,17,15,11
AC3.5,64,46,58,51,77,64
ugt-1,12,11,8,9,11,4
ugt-2,12,20,13,14,6,7
B0001.3,17,8,4,18,28,6
B0001.4,8,4,5,6,5,8
B0001.5,16,9,15,5,15,11
eri-12,86,63,69,51,57,39
B0001.8,6,7,12,3,3,7
B0019.2,4,5,2,0,3,5
trx-2,21,6,22,12,13,12
asps-1,10,8,6,7,2,7
B0024.11,27,22,24,11,15,14
B0024.13,1,1,12,1,3,1
crm-1,33,34,43,17,30,29
znf-207,6,7,5,14,10,2
B0035.3,1,4,1,0,3,0
pfd-4,16,6,14,8,9,6
gspd-1,67,89,89,30,52,40
edg-1,2,4,3,2,6,0
leo-1,31,83,42,32,29,24
sart-3,46,28,52,27,35,11
B0035.13,9,2,9,7,2,1
B0035.15,2,10,11,1,8,5
B0198.3,6,13,8,3,2,4
npp-22,4,10,13,11,13,16
calf-1,4,2,0,4,1,1
B0250.5,20,16,21,20,26,25
dhcr-7,8,9,16,10,11,7
memb-1,0,1,2,7,2,0
B0272.3,28,18,42,33,51,23
B0272.4,2,0,0,1,1,0
cdk-12,27,26,33,24,30,14
lcmt-1,3,4,6,5,10,0
B0285.6,5,5,5,3,2,6
mnp-1,35,42,42,17,39,14
ttr-18,33,27,54,36,38,24
B0334.3,144,175,156,103,149,99
B0334.4,3,2,1,0,2,3
B0334.5,35,31,30,10,18,28
acly-2,21,26,29,27,40,35
clec-41,43,29,66,46,75,31
B0379.1,4,22,12,8,8,3
fbxa-152,1,1,0,5,0,0
rbg-3,12,14,14,9,7,11
B0393.3,8,4,3,4,5,5
B0393.5,1,0,0,3,0,0
B0395.3,32,25,16,29,26,16
kcnl-1,20,40,26,13,25,20
B0457.2,1,1,7,5,4,3
B0457.6,3,10,0,3,1,2
ctr-9,47,28,46,23,33,24
nlp-36,20,22,8,17,19,5
B0464.6,47,49,43,12,17,31
tag-342,2,1,5,1,4,1
B0464.9,4,6,14,1,4,1
B0491.1,12,10,2,1,10,10
lgc-20,1,3,1,1,8,1
B0491.5,109,114,107,78,97,81
B0491.6,12,15,12,6,9,8
B0491.7,17,20,14,14,19,5
thoc-7,4,5,0,3,4,1
prdh-1,62,39,54,32,29,27
vamp-8,2,2,0,1,2,0
exos-4.1,3,6,4,1,4,3
best-1,9,1,6,8,8,4
B0564.7,6,11,13,7,17,13
C01A2.2,11,12,2,5,7,6
oxa-1,13,11,42,16,15,13
C01A2.4,8,1,10,2,2,1
tads-1,6,2,4,4,4,1
nlp-38,1,1,0,0,4,0
C01B9.1,7,10,12,3,1,4
cpna-3,3,3,10,10,13,4
C01F6.9,14,5,5,12,12,1
C01G6.4,2,6,3,7,3,4
C01G6.5,108,69,104,94,88,76
acs-7,17,14,17,22,8,3
C01G10.4,19,42,28,22,28,15
C01G10.5,3,12,3,3,1,0
C01G10.6,6,5,19,9,3,5
C01G10.7,6,3,2,2,1,4
ahsa-1,86,81,95,142,119,84
C01G10.9,7,3,10,5,3,2
C01G10.15,11,13,22,11,11,9
madf-5,13,14,13,6,17,6
C01G12.7,3,9,2,5,9,0
C01H6.4,0,4,2,2,2,2
swsn-9,18,14,17,8,15,7
C01H6.8,1,0,5,3,1,0
hasp-1,1,3,6,10,16,0
olrn-1,35,40,29,33,36,41
lron-3,15,13,18,14,9,18
C03A3.1,3,3,3,0,3,3
C03A3.2,29,56,69,51,39,23
rei-1,12,18,10,16,23,2
C03D6.1,3,2,3,6,3,3
C03H12.1,6,4,9,6,3,5
C04A11.1,5,6,3,1,0,9
gck-4,30,18,28,22,32,15
arrd-25,50,83,104,75,95,55
C04F12.1,12,12,7,8,5,7
C04F12.8,10,10,8,12,8,3
ttr-39,1,4,5,2,3,0
C04H5.1,8,13,4,5,0,3
nlp-41,1,5,4,6,3,10
C05A9.2,3,1,5,1,3,3
C05B5.4,2,11,2,5,3,5
C05B5.8,5,2,2,7,3,0
C05C10.2,51,39,51,19,20,18
C05C10.3,262,260,312,183,203,154
pho-11,33,34,37,34,32,13
ufd-3,30,29,37,29,34,19
C05C12.4,5,4,9,8,8,6
C05D12.1,2,3,7,3,0,2
C05D12.2,1,1,5,5,1,6
C05G5.1,9,27,9,11,10,11
C05G5.2,6,3,10,10,5,5
C05G5.3,1,1,2,1,6,0
sucl-1,96,68,115,95,90,69
cdc-48.1,190,278,313,181,235,172
C06A1.2,16,13,15,10,13,9
rpb-6,43,76,54,36,48,35
C06A12.3,5,1,0,1,0,1
cyp-35C1,5,8,14,2,4,2
stdh-1,16,8,21,9,15,7
C06B3.6,36,19,30,46,31,29
C06B8.7,11,31,23,21,20,7
swt-3,15,6,8,15,19,8
atp-5,131,143,141,144,156,104
C06H2.2,4,8,8,5,16,5
jmjd-5,14,11,11,8,3,1
folt-1,4,1,6,2,7,2
glb-3,0,2,2,0,2,0
lmtr-3,7,4,3,2,4,2
C06H5.6,23,33,34,13,34,18
dcar-1,12,11,8,19,13,14
tiar-3,2,7,12,1,1,4
C07A4.2,0,5,1,6,1,1
bud-31,5,7,8,5,10,4
ugt-60,7,4,7,12,8,3
set-3,7,3,7,1,3,0
best-5,3,1,1,0,1,1
C07A9.9,3,3,9,2,4,3
C07B5.4,7,7,8,7,14,8
stip-1,12,21,23,17,8,15
pro-2,120,95,129,63,61,44
C07E3.3,7,4,10,3,6,9
ceh-58,3,0,1,3,3,1
C07E3.9,0,0,1,4,1,1
C07H4.1,1,1,0,1,0,2
ugt-17,2,11,7,11,11,3
C08B6.3,0,0,1,0,1,0
wdr-20,39,37,46,28,38,28
C08B6.8,7,5,7,6,4,5
C08B6.11,3,3,0,1,3,0
swsn-7,38,38,66,42,63,25
arp-6,2,18,7,6,4,4
algn-6,4,3,1,8,5,1
C08B11.9,5,2,19,7,6,1
C08E8.4,3,15,6,2,3,2
pfd-1,30,75,67,49,46,38
C08F8.2,18,11,27,11,21,13
C08F8.9,1,0,0,1,1,0
C08F11.1,0,1,0,1,0,0
ugt-22,76,58,79,33,39,19
C08F11.13,25,16,14,14,19,10
vgln-1,647,734,837,573,687,558
algn-8,9,9,2,2,3,1
C09E9.1,2,0,5,0,1,0
C09F9.2,6,1,14,49,31,39
glna-1,24,36,31,20,16,21
C09F12.2,2,4,1,1,4,2
C09G1.4,7,10,12,8,7,2
C09G1.5,16,5,7,6,4,6
dph-2,11,10,9,7,10,7
mks-5,6,0,4,5,8,0
C09G9.1,18,17,16,17,13,25
npp-23,10,7,12,2,3,0
C09G9.5,1,0,2,0,2,0
nasp-1,9,11,21,14,20,6
apc-17,4,2,6,2,8,11
glb-4,8,10,11,8,6,5
nbs-1,16,41,16,8,5,7
pezo-1,113,119,103,68,108,74
wht-2,6,6,6,1,8,8
catp-8,56,41,50,74,57,49
gpx-5,3,0,3,10,2,5
gpx-3,0,2,3,0,8,0
C11E4.6,10,21,11,17,10,5
C11H1.3,11,1,2,6,17,11
cbl-1,8,3,5,4,1,3
fubl-1,26,11,25,33,27,38
daf-36,8,20,14,11,13,15
C13B4.1,13,16,9,10,22,11
nhr-153,2,0,1,2,0,2
nhr-154,4,2,3,7,5,8
spin-1,14,9,21,14,10,12
C13C12.2,0,0,0,3,6,0
C13G3.1,5,6,7,2,3,0
pptr-2,27,28,12,21,17,5
dohh-1,25,18,22,11,17,8
algn-9,16,21,14,6,16,14
C14A4.6,6,3,1,5,3,1
C14A4.7,2,7,3,0,2,2
ccm-3,9,9,6,11,8,15
C14A4.12,28,19,15,10,7,7
mrps-22,44,33,44,41,23,34
clec-48,13,2,17,30,22,6
C14B1.3,4,4,0,3,9,11
dph-1,8,8,16,4,15,3
nrde-1,9,6,9,19,6,3
C14B1.8,2,11,4,4,5,1
alkb-8,19,8,20,17,17,8
C14B4.2,37,35,46,23,25,23
C14C10.2,9,2,3,0,7,1
ril-2,81,79,85,67,55,53
mma-1,89,74,80,77,66,52
C14C10.5,130,145,163,78,91,64
ttr-43,0,5,0,0,3,0
zipt-13,10,12,14,4,9,11
C14H10.2,27,9,29,24,5,3
C14H10.3,35,38,26,29,32,25
C15A11.7,11,7,15,6,7,15
C15C6.3,38,57,40,21,28,26
xbx-9,17,14,15,17,18,15
hrg-7,211,275,382,214,288,138
C15C8.4,1,5,2,0,2,4
C15C8.7,2,0,0,0,0,0
rpoa-12,14,6,6,6,13,6
rrbs-1,99,94,93,74,64,55
ocrl-1,13,14,9,10,13,8
C16C2.4,9,8,3,3,8,2
C16C10.1,5,0,1,3,1,0
C16C10.2,8,7,13,6,13,4
hrde-1,6,20,13,14,18,18
C16C10.4,16,11,19,14,7,5
rnf-121,4,5,6,7,7,5
ccdc-55,5,6,6,12,8,5
C16C10.8,23,7,12,15,13,3
har-1,65,64,78,76,73,37
npr-4,2,6,7,1,0,0
dhhc-7,10,9,6,11,7,6
C17D12.7,5,1,2,1,6,0
C17E4.6,12,21,29,5,9,11
nkb-1,295,420,353,340,318,301
C17E4.10,23,21,44,33,33,32
ugt-23,8,8,7,8,10,4
nra-3,19,38,32,20,8,9
C17G1.5,3,1,4,1,0,1
cysl-1,12,7,21,14,12,7
seb-3,5,6,2,3,0,2
C18B12.4,23,22,24,36,32,18
C18B12.6,10,13,11,9,13,7
fbxa-136,0,2,7,6,1,5
C18D4.6,3,0,5,2,5,6
C18D11.1,26,42,47,40,55,36
C18D11.3,19,16,30,10,13,11
C18E9.2,18,18,11,17,11,12
C18E9.4,6,8,11,5,11,3
C18E9.5,11,8,14,13,7,8
tomm-40,64,115,85,66,99,52
C18E9.9,2,2,11,6,6,2
sftd-3,2,8,5,1,3,3
C23H4.3,6,8,1,5,8,4
C23H4.7,9,12,12,5,5,4
tram-1,13,34,45,27,46,36
qns-1,16,22,23,12,30,6
gbf-1,112,135,177,126,152,126
C25A1.1,1,1,2,2,0,6
fath-1,17,12,10,4,8,7
rsa-1,0,0,0,1,1,0
lid-1,4,1,1,7,4,3
mrpl-34,12,7,28,20,7,4
otub-1,19,49,41,18,22,17
C25D7.10,24,63,61,39,40,20
C25F9.4,0,1,2,2,0,1
C25G4.2,8,25,22,13,20,7
C25G4.3,4,4,7,10,4,1
igdb-2,14,10,29,24,17,14
glb-8,4,1,4,1,3,3
C26C6.9,1,5,2,3,17,0
C26D10.4,1,0,2,1,0,2
C26D10.6,12,7,34,5,9,6
C26E1.2,4,0,8,1,6,0
ceh-79,4,6,8,0,9,3
syg-2,21,22,21,10,10,13
wdfy-3,109,98,144,92,77,99
C27A7.1,8,6,5,7,13,2
C27A7.5,8,9,5,6,7,12
C27B7.2,2,7,7,1,4,0
rad-26,62,20,26,61,41,38
C27B7.5,0,0,5,8,4,0
C27B7.7,13,3,12,2,6,19
egrh-1,4,2,14,22,20,18
C27C12.4,9,9,16,6,8,6
acd-3,1,2,8,6,1,0
